[["zh_CN","start","start"],
["zh_CN","abadanggui","阿坝当归"],
["zh_CN","abaimashu","阿柏麻属"],
["zh_CN","abeizheguangji","阿贝折光计"],
["zh_CN","abiduo","阿必多"],
["zh_CN","aboguishu","阿波圭鼠"],
["zh_CN","aertaichaihu","阿尔泰柴胡"],
["zh_CN","aertaicong","阿尔泰葱"],
["zh_CN","aertaigouwahua","阿尔泰狗娃花"],
["zh_CN","aertaizhenmao","阿尔泰针茅"],
["zh_CN","afabisishu","阿发毕斯鼠"],
["zh_CN","agentinghuangguancao","阿根廷皇冠草"],
["zh_CN","aguinisishu","阿圭尼斯鼠"],
["zh_CN","aguishi","阿龟世"],
["zh_CN","akaxishu","阿卡西鼠"],
["zh_CN","akelishu","阿克力鼠"],
["zh_CN","alabogaoliang","阿拉伯高粱"],
["zh_CN","alabokafei","阿拉伯咖啡"],
["zh_CN","alabopopona","阿拉伯婆婆纳"],
["zh_CN","alaboshuanglingzao","阿拉伯双菱藻"],
["zh_CN","alabozhouxingzao","阿拉伯舟形藻"],
["zh_CN","alashanyang","阿拉善杨"],
["zh_CN","alasijiabianbai","阿拉斯加扁柏"],
["zh_CN","alasijiamuzei","阿拉斯加木贼"],
["zh_CN","alishanjianguying","阿里山剪股颖"],
["zh_CN","alishu","阿里鼠"],
["zh_CN","alianka","阿莲卡"],
["zh_CN","aliankaakaxi","阿莲卡阿卡西"],
["zh_CN","amapashu","阿马帕鼠"],
["zh_CN","amiqin","阿米芹"],
["zh_CN","amishu","阿米属"],
["zh_CN","amuerheisanleng","阿穆尔黑三棱"],
["zh_CN","amuershashen","阿穆尔沙参"],
["zh_CN","amuershican","阿穆尔石蚕"],
["zh_CN","amuersuocao","阿穆尔莎草"],
["zh_CN","anisimaimianya","阿拟四脉绵蚜"],
["zh_CN","apishuanglingzao","阿皮双菱藻"],
["zh_CN","asamutianhusui","阿萨姆天胡荽"],
["zh_CN","ashichuankongxiangjia","阿氏穿孔象甲"],
["zh_CN","ashiduojiazao","阿氏多甲藻"],
["zh_CN","atelajin","阿特垃津"],
["zh_CN","atelatong","阿特垃通"],
["zh_CN","aweishu","阿魏属"],
["zh_CN","ayuehunzi","阿月混子"],
["zh_CN","aibianqiaopiaofucao","矮扁鞘飘拂草"],
["zh_CN","aibiaocao","矮藨草"],
["zh_CN","aibinhao","矮滨蒿"],
["zh_CN","aicaidou","矮菜豆"],
["zh_CN","aichabiao","矮茶藨"],
["zh_CN","aicigu","矮慈菇"],
["zh_CN","aicigu","矮慈姑"],
["zh_CN","aicisushu","矮刺苏属"],
["zh_CN","aicongtaicao","矮丛薹草"],
["zh_CN","aidajuane","艾大卷蛾"],
["zh_CN","aidayezao","矮大叶藻"],
["zh_CN","aidicaoshu","爱地草属"],
["zh_CN","aidiqiangwei","矮地蔷薇"],
["zh_CN","aidongbeihongdoushan","矮东北红豆杉"],
["zh_CN","aidongqing","矮冬青"],
["zh_CN","aierweiya","埃二尾蚜"],
["zh_CN","aifenya","艾粉蚜"],
["zh_CN","aigecao","埃格草"],
["zh_CN","aiguijia","艾龟甲"],
["zh_CN","aihaitang","矮海棠"],
["zh_CN","aihao","艾蒿"],
["zh_CN","aihao","矮蒿"],
["zh_CN","aihaolvyechan","艾蒿绿叶蝉"],
["zh_CN","aihaoyingwen","艾蒿瘿蚊"],
["zh_CN","aihaoyue","艾蒿羽蛾"],
["zh_CN","aihaoyuanweiya","艾蒿圆尾蚜"],
["zh_CN","aiheisanleng","矮黑三棱"],
["zh_CN","aihuweizao","矮狐尾藻"],
["zh_CN","aihuaji","矮化剂"],
["zh_CN","aihuiwenyechan","艾灰纹叶蝉"],
["zh_CN","aijichezhoucao","埃及车轴草"],
["zh_CN","aijianbanqin","矮尖瓣芹"],
["zh_CN","aijiaomeirenjiao","矮脚美人蕉"],
["zh_CN","aijinshu","艾堇属"],
["zh_CN","aijinyejia","艾金叶甲"],
["zh_CN","aijingnangbanqin","矮茎囊瓣芹"],
["zh_CN","aijingzijinniu","矮茎紫金牛"],
["zh_CN","aijiu","矮韭"],
["zh_CN","aikemaanzao","埃克马鞍藻"],
["zh_CN","aileizhu","矮雷竹"],
["zh_CN","ailengshuihua","矮冷水花"],
["zh_CN","ailengziqin","矮棱子芹"],
["zh_CN","aili","矮藜"],
["zh_CN","ailioutiboluo","艾利欧提菠萝"],
["zh_CN","ailiao","矮蓼"],
["zh_CN","ailiuchuanyu","矮柳穿鱼"],
["zh_CN","ailunmeishishaoping","爱伦美氏烧瓶"],
["zh_CN","ailunshirenyu","艾伦食人鱼"],
["zh_CN","aima","艾麻"],
["zh_CN","aimahuang","矮麻黄"],
["zh_CN","aimashu","艾麻属"],
["zh_CN","aimishijiang","艾米氏鳉"],
["zh_CN","aimixi","爱密西"],
["zh_CN","aimianyingwen","艾绵瘿蚊"],
["zh_CN","aimiaoshiying","艾藐实蝇"],
["zh_CN","ainaxiangshu","艾纳香属"],
["zh_CN","aipangduojiazao","矮胖多甲藻"],
["zh_CN","aipiaofucao","矮飘拂草"],
["zh_CN","aiqianhu","矮前胡"],
["zh_CN","aiqianniu","矮牵牛"],
["zh_CN","aiqianniubaifenbing","矮牵牛白粉病"],
["zh_CN","aiqianniuhuimeibing","矮牵牛灰霉病"],
["zh_CN","aiqianniujunhebing","矮牵牛菌核病"],
["zh_CN","aisanqinshu","矮伞芹属"],
["zh_CN","aishanlidou","矮山黧豆"],
["zh_CN","aishengliuyecai","矮生柳叶菜"],
["zh_CN","aishengtaicao","矮生苔草"],
["zh_CN","aishifuhuanzao","爱氏辐环藻"],
["zh_CN","aishihailianzao","爱氏海链藻"],
["zh_CN","aishijiaomaozao","爱氏角毛藻"],
["zh_CN","aishijiaozao","埃氏角藻"],
["zh_CN","aishirongxiaodu","爱氏榕小蠹"],
["zh_CN","aishixiexingzao","爱氏楔形藻"],
["zh_CN","aishiying","艾实蝇"],
["zh_CN","aishizhouxingzao","艾氏舟形藻"],
["zh_CN","aisong","矮松"],
["zh_CN","aiwenzhu","矮文竹"],
["zh_CN","aixixiewenzao","艾希斜纹藻"],
["zh_CN","aixiaochaihu","矮小柴胡"],
["zh_CN","aixiaodaochacai","矮小稻槎菜"],
["zh_CN","aixiaoshanmaidong","矮小山麦冬"],
["zh_CN","aixiaosibanqin","矮小丝瓣芹"],
["zh_CN","aixiaoxionggezao","矮小胸隔藻"],
["zh_CN","aixinghuangyu","矮形黄榆"],
["zh_CN","aixuangouzi","矮悬钩子"],
["zh_CN","aiyanzicai","矮眼子菜"],
["zh_CN","aiyangmao","矮羊茅"],
["zh_CN","aiyechan","艾叶蝉"],
["zh_CN","aiyee","艾夜蛾"],
["zh_CN","aiyinguanya","艾隐管蚜"],
["zh_CN","aiyingwen","艾瘿蚊"],
["zh_CN","aiyuzi","爱玉子"],
["zh_CN","aiyuanwei","矮鸢尾"],
["zh_CN","aizeqin","矮泽芹"],
["zh_CN","aizeqinshu","矮泽芹属"],
["zh_CN","aizhenzhu","矮珍珠"],
["zh_CN","aizhongbing","癌肿病"],
["zh_CN","aizhu","矮竹"],
["zh_CN","aizhuhumabanbing","矮竹胡麻斑病"],
["zh_CN","aizhulanshu","矮柱兰属"],
["zh_CN","aizhushu","矮竹属"],
["zh_CN","aizhuwenbing","矮竹瘟病"],
["zh_CN","aiziwei","矮紫薇"],
["zh_CN","aizongzhu","矮棕竹"],
["zh_CN","aizumeisu","碍阻霉素"],
["zh_CN","anbanbing","暗斑病"],
["zh_CN","anbaodunke","暗孢盾壳"],
["zh_CN","anbikabaoshu","安毕卡豹鼠"],
["zh_CN","anbianshenyee","暗扁身夜蛾"],
["zh_CN","anbowenchie","暗波纹尺蛾"],
["zh_CN","anbuxing","安瓿形"],
["zh_CN","andanbao","暗单胞"],
["zh_CN","andicuwenzao","安蒂粗纹藻"],
["zh_CN","andilingxingzao","安蒂菱形藻"],
["zh_CN","andixiebanzao","安蒂斜斑藻"],
["zh_CN","andianzhechie","暗点赭尺蛾"],
["zh_CN","andingwan","氨丁烷"],
["zh_CN","anfenniechong","暗粉啮虫"],
["zh_CN","anfumeibing","桉腐霉病"],
["zh_CN","anhanxianshu","安旱苋属"],
["zh_CN","anhepiaofucao","暗褐飘拂草"],
["zh_CN","anhewenjuanxiang","暗褐纹卷象"],
["zh_CN","anheiroujiying","暗黑柔寄蝇"],
["zh_CN","anhonggelvzi","暗红葛缕子"],
["zh_CN","anhongpiaochong","暗红瓢虫"],
["zh_CN","anhongzhetianniu","暗红折天牛"],
["zh_CN","anhoutianshee","暗后天社蛾"],
["zh_CN","anhuajinwaer","暗花金挖耳"],
["zh_CN","anhuicongmu","安徽葱木"],
["zh_CN","anhuidujuan","安徽杜鹃"],
["zh_CN","anhuifanlv","安徽繁缕"],
["zh_CN","anhuihuangqin","安徽黄芩"],
["zh_CN","anhuijinsulan","安徽金粟兰"],
["zh_CN","anhuimeibing","桉灰霉病"],
["zh_CN","anhuiqi","安徽槭"],
["zh_CN","anhuiweilingxian","安徽威灵仙"],
["zh_CN","anhuixiaobo","安徽小檗"],
["zh_CN","anjixianhechengmei","氨基酰合成酶"],
["zh_CN","anjixianxiangansuan","氨基酰腺苷酸"],
["zh_CN","anjiyihuangsuan","氨基乙磺酸"],
["zh_CN","ankejun","暗壳菌"],
["zh_CN","ankongjun","暗孔菌"],
["zh_CN","anlanshu","安兰属"],
["zh_CN","anlonghuashu","安龙花属"],
["zh_CN","anluoshu","暗罗属"],
["zh_CN","anlvzijin","暗绿紫堇"],
["zh_CN","anmeibing","暗霉病"],
["zh_CN","annapulaohu","安娜普老虎"],
["zh_CN","annaiqidouyu","安奈奇斗鱼"],
["zh_CN","anpanduomaojunbing","桉盘多毛菌病"],
["zh_CN","anquanshiyaobiaozhun","安全施药标准"],
["zh_CN","ansebaqia","暗色菝葜"],
["zh_CN","ansebanbing","暗色斑病"],
["zh_CN","ansebao","暗色孢"],
["zh_CN","ansejifeng","暗色姬蜂"],
["zh_CN","ansexiaodu","暗色小蠹"],
["zh_CN","ansexuefubing","暗色雪腐病"],
["zh_CN","ansheng","安胜"],
["zh_CN","anshidongyee","暗石冬夜蛾"],
["zh_CN","anshiliu","安石榴"],
["zh_CN","anshiliuke","安石榴科"],
["zh_CN","anshiliushu","安石榴属"],
["zh_CN","anshiyejuguangqi","暗视野聚光器"],
["zh_CN","anshiyuanshaizao","安氏圆筛藻"],
["zh_CN","anshiyuanshaizao","暗氏圆筛藻"],
["zh_CN","anshu","桉属"],
["zh_CN","ansihejunbing","桉丝核菌病"],
["zh_CN","ansongzhujiechong","安松竹节虫"],
["zh_CN","antuyuzan","安图玉簪"],
["zh_CN","anwenbing","暗纹病"],
["zh_CN","anxilin","胺吸磷"],
["zh_CN","anxixianggaoyaobing","安息香膏药病"],
["zh_CN","anxixiangke","安息香科"],
["zh_CN","anxixiangmihoutao","安息香猕猴桃"],
["zh_CN","anxixiangshu","安息香属"],
["zh_CN","anxixiangwuya","安息香舞蚜"],
["zh_CN","anxianzhuanyi","氨酰转移"],
["zh_CN","anxingchie","鞍形尺蛾"],
["zh_CN","anxingzao","鞍形藻"],
["zh_CN","anyetengshu","桉叶藤属"],
["zh_CN","anyuanchihuoe","暗缘尺蠖蛾"],
["zh_CN","anziliao","暗子蓼"],
["zh_CN","aoban","凹斑"],
["zh_CN","aobogenshu","奥波根鼠"],
["zh_CN","aochunjiangshu","凹唇姜属"],
["zh_CN","aochunniaochaolan","凹唇鸟巢兰"],
