[["zh_CN","start","start"],
["zh_CN","aikemanceng","埃克曼层"],
["zh_CN","anyanghuawu","氨氧化物"],
["zh_CN","baihong","白虹"],
["zh_CN","bailu","白露"],
["zh_CN","baishuang","白霜"],
["zh_CN","baiyexiang","百叶箱"],
["zh_CN","baizai","白灾"],
["zh_CN","banganhandai","半干旱带"],
["zh_CN","banganhanqu","半干旱区"],
["zh_CN","banyinshigeshi","半隐式格式"],
["zh_CN","baobao","雹暴"],
["zh_CN","baofeng","暴风"],
["zh_CN","baofengjingbao","暴风警报"],
["zh_CN","baofenglun","暴风论"],
["zh_CN","baofengxue","暴风雪"],
["zh_CN","baofengxuejingbao","暴风雪警报"],
["zh_CN","baofengyu","暴风雨"],
["zh_CN","baofengyujingbao","暴风雨警报"],
["zh_CN","baoheshuiqiyali","饱和水汽压力"],
["zh_CN","baoshi","雹石"],
["zh_CN","baowenbishu","包文比数"],
["zh_CN","baoxianxing","雹线型"],
["zh_CN","baoxue","暴雪"],
["zh_CN","baoyu","暴雨"],
["zh_CN","baoyujidahua","暴雨极大化"],
["zh_CN","baoyujingbao","暴雨警报"],
["zh_CN","baoyulishi","暴雨历时"],
["zh_CN","baoyuyizhi","暴雨移置"],
["zh_CN","beiergenxuepai","卑尔根学派"],
["zh_CN","beifangqixuan","北方气旋"],
["zh_CN","beifeng","北风"],
["zh_CN","beijiqihou","北极气候"],
["zh_CN","beijiqituan","北极气团"],
["zh_CN","bishi","比湿"],
["zh_CN","bianxingqituan","变性气团"],
["zh_CN","biaomianguolv","表面过滤"],
["zh_CN","biaoxian","飑线"],
["zh_CN","biaozhundaqi","标准大气"],
["zh_CN","biaozhundaqizhuangkuang","标准大气状况"],
["zh_CN","bingbaojingbao","冰雹警报"],
["zh_CN","bingbo","冰拨"],
["zh_CN","bingchuanshidai","冰川时代"],
["zh_CN","bingdian","冰点"],
["zh_CN","bingdong","冰冻"],
["zh_CN","binghe","冰河"],
["zh_CN","bingjinghe","冰晶核"],
["zh_CN","bingkuai","冰块"],
["zh_CN","bingli","冰粒"],
["zh_CN","binglie","冰裂"],
["zh_CN","bingna","冰那"],
["zh_CN","bingpu","冰瀑"],
["zh_CN","bingshan","冰山"],
["zh_CN","bingwan","冰丸"],
["zh_CN","bingxuequan","冰雪圈"],
["zh_CN","bingzhen","冰针"],
["zh_CN","bingzhu","冰柱"],
["zh_CN","bobing","薄冰"],
["zh_CN","bochang","波长"],
["zh_CN","bodong","波动"],
