[["zh_CN","start","start"],
["zh_CN","abiketang","阿比可糖"],
["zh_CN","adamudankang","阿达木单抗"],
["zh_CN","adisenshibing","阿狄森氏病"],
["zh_CN","adisixianxiang","阿蒂斯现象"],
["zh_CN","ading","吖啶"],
["zh_CN","adingcheng","吖啶橙"],
["zh_CN","adinghuang","吖啶黄"],
["zh_CN","adinghuangadinghuangsuyuandingti","吖啶黄吖啶黄素原顶体"],
["zh_CN","adinghuangsu","吖啶黄素"],
["zh_CN","adingleishengwujian","吖啶类生物碱"],
["zh_CN","adingranliao","吖啶燃料"],
["zh_CN","adou","阿窦"],
["zh_CN","aercihaimobing","阿尔茨海默病"],
["zh_CN","aertemanshili","阿耳特曼氏粒"],
["zh_CN","afentaini","阿芬太尼"],
["zh_CN","afojunsulaizichuchonglianmeisu","阿佛菌素来自除虫链霉素"],
["zh_CN","afutakuiyang","阿弗他溃疡"],
["zh_CN","agentingcaoyuan","阿根廷草原"],
["zh_CN","agentingjian","阿根廷碱"],
["zh_CN","aheipiyuan","阿黑皮原"],
["zh_CN","ahongbing","阿洪病"],
["zh_CN","akekahuan","阿克卡环"],
["zh_CN","akelameisu","阿克拉霉素"],
["zh_CN","akumixinjian","阿枯米辛碱"],
["zh_CN","alabobanrujutang","阿拉伯半乳聚糖"],
["zh_CN","alabobinantang","阿拉伯吡喃糖"],
["zh_CN","alabofunantang","阿拉伯呋喃糖"],
["zh_CN","alabojiao","阿拉伯胶"],
["zh_CN","alabojutang","阿拉伯聚糖"],
["zh_CN","alabomujutang","阿拉伯木聚糖"],
["zh_CN","alaboshujiao","阿拉伯树胶"],
["zh_CN","alabosuan","阿拉伯酸"],
["zh_CN","alabotang","阿拉伯糖"],
["zh_CN","alabotanganchun","阿拉伯糖胺醇"],
["zh_CN","alabotangjiputanggan","阿拉伯糖基葡糖苷"],
["zh_CN","alabotangsuan","阿拉伯糖酸"],
["zh_CN","alabotangxingkanghuaixuesuan","阿拉伯糖型抗坏血酸"],
["zh_CN","alabotongtang","阿拉伯酮糖"],
