[["zh_CN","start","start"],
["zh_CN","ejiaodunrou","阿胶炖肉"],
["zh_CN","ejiaoniuroutang","阿胶牛肉汤"],
["zh_CN","ejiaoyangyinzhou","阿胶养阴粥"],
["zh_CN","ejiaoyangyinyu","阿胶养阴粥"],
["zh_CN","anyangsanxun","安阳三熏"],
["zh_CN","anchundanshaozhi","鹌鹑蛋烧稚"],
["zh_CN","anchungouqizhou","鹌鹑枸杞粥"],
["zh_CN","anchungouqiyu","鹌鹑枸杞粥"],
["zh_CN","aohuanghuayu","熬黄花鱼"],
["zh_CN","babaobocai","八宝菠菜"],
["zh_CN","babaochaoniangao","八宝炒年糕"],
["zh_CN","babaodoufu","八宝豆腐"],
["zh_CN","babaoguiyu","八宝桂鱼"],
["zh_CN","babaoguiyu","八宝鳜鱼"],
["zh_CN","babaohaishen","八宝海参"],
["zh_CN","babaohuluji","八宝葫芦鸡"],
["zh_CN","babaoji","八宝鸡"],
["zh_CN","babaojiayu","八宝甲鱼"],
["zh_CN","babaoliguan","八宝梨罐"],
["zh_CN","babaoniangdonggu","八宝酿冬菇"],
["zh_CN","babaonianglianggua","八宝酿凉瓜"],
["zh_CN","babaoniangxianggua","八宝酿香瓜"],
["zh_CN","babaonuomiji","八宝糯米鸡"],
["zh_CN","babaoqingxiefan","八宝青蟹饭"],
["zh_CN","babaorangpingguo","八宝瓤苹果"],
["zh_CN","babaoshanyaoni","八宝山药泥"],
["zh_CN","babaoshanzhou","八宝膳粥"],
["zh_CN","babaoshanyu","八宝膳粥"],
["zh_CN","babaosuikouya","八宝碎扣鸭"],
["zh_CN","babaotuding","八宝兔丁"],
["zh_CN","babaotuzheng","八宝兔丁"],
["zh_CN","babaowoji","八宝窝鸡"],
["zh_CN","babaoxiangnuo","八宝香糯"],
["zh_CN","babaoya","八宝鸭"],
["zh_CN","babaoyageng","八宝鸭羹"],
["zh_CN","babaoyeya","八宝野鸭"],
["zh_CN","babaoyuni","八宝芋泥"],
["zh_CN","babaoyuankexianbei","八宝原壳鲜贝"],
["zh_CN","babaoyuanqiaoxianbei","八宝原壳鲜贝"],
["zh_CN","babaozhenzijiang","八宝榛子酱"],
["zh_CN","babaozhengwuji","八宝蒸乌鸡"],
["zh_CN","badachui","八大锤"],
["zh_CN","badaiyu","八代鱼"],
["zh_CN","bagongshandoufu","八公山豆腐"],
["zh_CN","bakuaiji","八块鸡"],
["zh_CN","bashenghuoguo","八生火锅"],
["zh_CN","baweiniangsun","八味酿笋"],
["zh_CN","baxianguohainaoluohan","八仙过海闹罗汉"],
["zh_CN","baxianyaochijuhui","八仙瑶池聚会"],
["zh_CN","bazhenbaya","八珍扒鸭"],
["zh_CN","bazhenpaya","八珍扒鸭"],
["zh_CN","baguoyumigao","巴国玉米糕"],
["zh_CN","babaoyulusun","扒鲍鱼芦笋"],
["zh_CN","pabaoyulusun","扒鲍鱼芦笋"],
["zh_CN","bachuanjichi","扒穿鸡翅"],
["zh_CN","pachuanjichi","扒穿鸡翅"],
["zh_CN","badachangyoucai","扒大肠油菜"],
["zh_CN","padachangyoucai","扒大肠油菜"],
["zh_CN","badoufuhe","扒豆腐盒"],
["zh_CN","padoufuhe","扒豆腐盒"],
["zh_CN","bahaishen","扒海参"],
["zh_CN","pahaishen","扒海参"],
["zh_CN","bahaiyang","扒海羊"],
["zh_CN","pahaiyang","扒海羊"],
["zh_CN","bahaixiang","扒海羊"],
["zh_CN","pahaixiang","扒海羊"],
["zh_CN","pajikuaier","扒鸡块儿"],
["zh_CN","balizi","扒栗子"],
["zh_CN","palizi","扒栗子"],
["zh_CN","balongxubaoyu","扒龙须鲍鱼"],
["zh_CN","palongxubaoyu","扒龙须鲍鱼"],
["zh_CN","bamianjin","扒面筋"],
["zh_CN","pamianjin","扒面筋"],
["zh_CN","banianghaishen","扒酿海参"],
["zh_CN","panianghaishen","扒酿海参"],
["zh_CN","baniuroutiao","扒牛肉条"],
["zh_CN","paniuroutiao","扒牛肉条"],
["zh_CN","barangzhusuntong","扒瓤竹笋筒"],
["zh_CN","parangzhusuntong","扒瓤竹笋筒"],
["zh_CN","barou","扒肉"],
["zh_CN","basanyang","扒三样"],
["zh_CN","pasanyang","扒三样"],
["zh_CN","basuzishuanggu","扒素子双菇"],
["zh_CN","pasuzishuanggu","扒素子双菇"],
["zh_CN","bayudujuan","扒鱼肚卷"],
["zh_CN","payudujuan","扒鱼肚卷"],
["zh_CN","bayuankebaoyu","扒原壳鲍鱼"],
["zh_CN","payuankebaoyu","扒原壳鲍鱼"],
["zh_CN","bayuanqiaobaoyu","扒原壳鲍鱼"],
["zh_CN","payuanqiaobaoyu","扒原壳鲍鱼"],
["zh_CN","bazhoutiao","扒肘条"],
["zh_CN","pazhoutiao","扒肘条"],
["zh_CN","bazhutou","扒猪头"],
["zh_CN","pazhutou","扒猪头"],
["zh_CN","basikongxinxiaozao","拔丝空心小枣"],
["zh_CN","basimiju","拔丝蜜桔"],
["zh_CN","basipingguo","拔丝苹果"],
["zh_CN","basiroubandousha","拔丝肉拌豆沙"],
["zh_CN","basiroupandousha","拔丝肉拌豆沙"],
["zh_CN","basishanyao","拔丝山药"],
["zh_CN","basishijinshanyao","拔丝什锦山药"],
["zh_CN","basitanggen","拔丝糖根"],
["zh_CN","basitudou","拔丝土豆"],
["zh_CN","basixigua","拔丝西瓜"],
["zh_CN","basixiangjiao","拔丝香蕉"],
["zh_CN","basizhagao","拔丝楂糕"],
["zh_CN","basichagao","拔丝楂糕"],
["zh_CN","bawangbieji","霸王别姬"],
["zh_CN","bawangjichi","霸王鸡翅"],
["zh_CN","baibabaoyu","白扒鲍鱼"],
["zh_CN","baipabaoyu","白扒鲍鱼"],
["zh_CN","baibatongtianchi","白扒通天翅"],
["zh_CN","baipatongtianchi","白扒通天翅"],
["zh_CN","baibayuchi","白扒鱼翅"],
["zh_CN","baipayuchi","白扒鱼翅"],
["zh_CN","baibayuchun","白扒鱼唇"],
["zh_CN","baipayuchun","白扒鱼唇"],
["zh_CN","baibayupian","白扒鱼片"],
["zh_CN","baipayupian","白扒鱼片"],
["zh_CN","baicaichaorousi","白菜炒肉丝"],
["zh_CN","baicaidongdoufu","白菜冻豆腐"],
["zh_CN","baicaiganchaorousi","白菜杆炒肉丝"],
["zh_CN","baicaiguozi","白菜锅子"],
["zh_CN","baicaikouxia","白菜扣虾"],
["zh_CN","baicaikouha","白菜扣虾"],
["zh_CN","baicailuoboyu","白菜萝卜鱼"],
["zh_CN","baicaimuxu","白菜木须"],
["zh_CN","baicairoujuan","白菜肉卷"],
["zh_CN","baicaizaicaitang","白菜仔菜汤"],
["zh_CN","baicaizicaitang","白菜仔菜汤"],
["zh_CN","baizhuoxiangluo","白焯响螺"],
["zh_CN","baichaoxiangluo","白焯响螺"],
["zh_CN","baichaodaoyusi","白炒刀鱼丝"],
["zh_CN","baichaosanqihuatianji","白炒三七花田鸡"],
["zh_CN","baichaoxiaqiu","白炒虾球"],
["zh_CN","baichaoxiangluopian","白炒香螺片"],
["zh_CN","baicujidan","白醋鸡蛋"],
["zh_CN","baicuiyazi","白脆鸭子"],
["zh_CN","baidoumenzhupai","白豆焖猪排"],
["zh_CN","baidoutang","白豆汤"],
["zh_CN","baidoushang","白豆汤"],
["zh_CN","baidu","白肚"],
["zh_CN","baiexiadan","白鹅下蛋"],
["zh_CN","baifeitang","白肺汤"],
["zh_CN","baifeishang","白肺汤"],
["zh_CN","baiguoguihuageng","白果桂花羹"],
["zh_CN","baiguohaixiangeng","白果海鲜羹"],
["zh_CN","baiguojiqiu","白果鸡球"],
["zh_CN","baiguokugua","白果苦瓜"],
["zh_CN","baiguonanxingshengyutang","白果南杏生鱼汤"],
["zh_CN","baiguonaxingshengyutang","白果南杏生鱼汤"],
["zh_CN","baiguonanxingshengyushang","白果南杏生鱼汤"],
["zh_CN","baiguonaxingshengyushang","白果南杏生鱼汤"],
["zh_CN","baiguoshaoji","白果烧鸡"],
["zh_CN","baiguoyabao","白果鸭煲"],
["zh_CN","baijibingtangyanwo","白芨冰糖燕窝"],
